[2025-08-26T02:57:04.530Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:04.531Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:04.531Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:04.532Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de cuscuz. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.533Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Brócolis e Couve flor assados. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.533Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Filé de frango marinado na mostarda. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.534Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Carne ao Molho de Vinho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.535Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Lasanha Presunto e Queijo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.535Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Chips de batata doce. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.540Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:04.540Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:04.541Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Pepino. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.541Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Beterraba Ralada. unit_price: 11.039600000000002, unit_type: cuba-g
[2025-08-26T02:57:04.844Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:04.845Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:04.845Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:04.845Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de cuscuz. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.846Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Brócolis e Couve flor assados. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.846Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Filé de frango marinado na mostarda. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.847Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Carne ao Molho de Vinho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.847Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Lasanha Presunto e Queijo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.848Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Chips de batata doce. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.849Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:04.849Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:04.849Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Pepino. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.850Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Beterraba Ralada. unit_price: 11.039600000000002, unit_type: cuba-g
[2025-08-26T02:57:04.867Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:04.867Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:04.868Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:04.868Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de cuscuz. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.868Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Brócolis e Couve flor assados. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.868Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Filé de frango marinado na mostarda. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.868Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Carne ao Molho de Vinho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.869Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Lasanha Presunto e Queijo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.869Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Chips de batata doce. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.871Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:04.872Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:04.872Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Pepino. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.872Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Beterraba Ralada. unit_price: 11.039600000000002, unit_type: cuba-g
[2025-08-26T02:57:04.899Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:04.900Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:04.900Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:04.901Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de cuscuz. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.901Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Brócolis e Couve flor assados. unit_price: 8.944, unit_type: null
