Timestamp,Type,Message,Objects,Raw
"2025-08-16T23:28:32.657Z","log","🔍 [CARDÁPIO POR CLIENTE] Arroz Branco","","[""🔍 [CARDÁPIO POR CLIENTE] Arroz Branco""]"
"2025-08-16T23:28:32.657Z","log","📋 IDs marcados: [Object]","[]","[""📋 IDs marcados:"",[]]"
"2025-08-16T23:28:32.657Z","log","❌ DESMARCADOS em ""Arroz Branco"": [Object]","[
  ""Einstein"",
  ""Faap"",
  ""Itamarati"",
  ""Museu"",
  ""Nestlé""
]","[""❌ DESMARCADOS em \""Arroz Branco\"":"",[""Einstein"",""Faap"",""Itamarati"",""Museu"",""Nestlé""]]"
"2025-08-16T23:28:32.658Z","log","---","","[""---""]"
"2025-08-16T23:28:32.658Z","log","🔍 [CARDÁPIO POR CLIENTE] Arroz integral com cabotiá","","[""🔍 [CARDÁPIO POR CLIENTE] Arroz integral com cabotiá""]"
"2025-08-16T23:28:32.658Z","log","📋 IDs marcados: [Object]","[
  ""VN82qwyceQ3uAasT2EYt"",
  ""XyrOVFk5uwtyVIDLrbYI"",
  ""ergregtrgrtgt"",
  ""erfwefewfwef"",
  ""regtegbrtvbrt""
]","[""📋 IDs marcados:"",[""VN82qwyceQ3uAasT2EYt"",""XyrOVFk5uwtyVIDLrbYI"",""ergregtrgrtgt"",""erfwefewfwef"",""regtegbrtvbrt""]]"
"2025-08-16T23:28:32.658Z","log","❌ DESMARCADOS em ""Arroz integral com cabotiá"": [Object]","[
  ""Itamarati"",
  ""Museu""
]","[""❌ DESMARCADOS em \""Arroz integral com cabotiá\"":"",[""Itamarati"",""Museu""]]"
"2025-08-16T23:28:32.658Z","log","---","","[""---""]"
"2025-08-16T23:28:32.659Z","log","🔍 [CARDÁPIO POR CLIENTE] Feijão","","[""🔍 [CARDÁPIO POR CLIENTE] Feijão""]"
"2025-08-16T23:28:32.659Z","log","📋 IDs marcados: [Object]","[]","[""📋 IDs marcados:"",[]]"
