ID	NOME
---	----
0i8ejqcDzjsvmengYVxF	Frango Grelhado
0uxHUYqVsd9gEDx9RPKT	Carne Moída c. Cabotiá
1DjqpZIKCwtzG9xrgoOo	Torresmo
1Qkg40BbX4mRXss9kLr3	Maminha assada
1Shueg34cLncKjfawutR	Bolo de Laranja
1V17emgm6ISIARdQTuFb	S. Cenoura Ralada
1b0wmUWjFsrIkLXLL6Sc	Ovo Assado com Molho Vermelho e Queijo
27F6WdxzZHmBK2abADap	Almôndega ao Molho
2BAlWuySrUCmUU7dLgBY	Isca de Frango
2SF0ayQty177rROGMr6L	R. Cenoura
2xw1zeqBvtygpLfr2tGt	Filé de Frango ao Molho Curry
34RVK3LbPR4znGaFgdNL	Frango com Molho de Gorgonzola
36vprsFOJgQw0eLQtwsc	Espetinho Misto Carne e Frango
3MFHEWvheAvlzMBpI5Jt	Farofa Temperada
4HzxRmMmnymj1AorQYON	Frango à Parmeggiana
4ONQH6fe1hrwRWuKd29k	Cubos de Carne com Tomate Cereja e Manjericão
4cbpB0sXWeSTinpdvvTm	Esc. de Frango
4ry5qdLyPxvub5ntkm21	Costela Assada
4syLK6PcgyHLumrVMgTS	Farofa de cebola
51vN7ISVYiKwIkqsgvch	Arroz integral com vagem e cenoura
5Ibcko7sTMOPOHi33GdJ	Sofiatelli Presunto e Queijo
5ZG1c26Avq9LuPcBcFlI	Picanha Suína com Molho Barbecue
5eFP3beGAhUse3Jvm3Xj	Arroz integral com cabotiá
5qsG0G3GCcyZQCUVrMUF	Linguiça artesanal
6LMdPkdkXIgkEk8EoVEK	Arroz Branco
6So3d4xtqii7o3wREvX2	S. Milho
6fw1UUTvTLzi6hS1l7d0	Arroz integral com quinoa
6ptI5xcrmbaOz449rlqP	R. Repolho
73wRf5asJ2du5Wqqqime	S. Trigo em Grão
7TkYWBnzSeOGP9kVsiCB	S. Couve
8AOduT9f0trzQdCGr3YO	S. Soja c. Legumes
8G8XLaXzViYzdoCmanCW	Lasanha ao Sugo
8LZ0U6S62ULsPpp8u5fb	Farofa de cuscuz
8NcLbotwWYhWyfsXoHOX	R. Vagem
8deQ7mBHv7AbZgFpcSWa	R. Cabotiá
8eU1NQG9AxAchiqe5271	Doguinho
8se5pv6gh5gRNyyc1dlV	Quiche Lorraine
9blE48TPEmrBsVsxHJes	Panqueca de Carne
